ABC-1234,0,0,Sem restrição,VW/SANTANA CG,VW/SANTANA CG,Vermelha,1986,1986,PR,LOBATO,46344,2019-01-29 09:10:43
NEP-9502,0,0,Sem restrição,I/NISSAN SENTRA 20 FLEX,I/NISSAN SENTRA 20 FLEX,Prata,2012,2013,GO,APARECIDA DE GOIANIA,03320,2019-01-29 09:10:49
